Code,Name,Country,Exchange,Currency,Type
3204,George Kent (Malaysia) Berhad,Malaysia,KLSE,MYR,Common Stock
3239,Berjaya Assets Berhad,Malaysia,KLSE,MYR,Common Stock
3247,GUH Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
3255,Heineken Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
3298,Hexza Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
3301,Hong Leong Industries Berhad,Malaysia,KLSE,MYR,Common Stock
3336,IJM Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
3379,Insas Berhad,Malaysia,KLSE,MYR,Common Stock
3395,Berjaya Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
3417,Eastern & Oriental Berhad,Malaysia,KLSE,MYR,Common Stock
3441,Johan Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
3476,Keck Seng Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
3484,Damansara Realty Bhd,Malaysia,KLSE,MYR,Common Stock
3514,Marco Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
3557,Ecofirst Consolidated Bhd,Malaysia,KLSE,MYR,Common Stock
3565,Kumpulan Europlus Berhad,Malaysia,KLSE,MYR,Common Stock
3573,Lien Hoe Corp. Bhd,Malaysia,KLSE,MYR,Common Stock
3662,Malayan Flour Mills Bhd,Malaysia,KLSE,MYR,Common Stock
3689,Fraser & Neave Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
3719,Panasonic Manufacturing Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
3743,Sunsuria Berhad,Malaysia,KLSE,MYR,Common Stock
3778,Melewar Industrial Group Berhad,Malaysia,KLSE,MYR,Common Stock
3794,Lafarge Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
3816,Misc Bhd,Malaysia,KLSE,MYR,Common Stock
3859,Magnum Berhad,Malaysia,KLSE,MYR,Common Stock
3867,Malaysian Pacific Industries Berhad,Malaysia,KLSE,MYR,Common Stock
3883,Muda Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
3891,Malayan United Industries Berhad,Malaysia,KLSE,MYR,Common Stock
3905,Mulpha International Bhd,Malaysia,KLSE,MYR,Common Stock
3913,MUI Properties Berhad,Malaysia,KLSE,MYR,Common Stock
3948,DutaLand Berhad,Malaysia,KLSE,MYR,Common Stock
4006,Oriental Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
4022,Tadmax Resources Berhad,Malaysia,KLSE,MYR,Common Stock
4057,Asian Pac Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
4065,PPB Group Berhad,Malaysia,KLSE,MYR,Common Stock
4081,Pan Malaysia Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
4162,British American Tobacco Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
4197,Sime Darby Berhad,Malaysia,KLSE,MYR,Common Stock
4219,Berjaya Land Berhad,Malaysia,KLSE,MYR,Common Stock
4235,Lion Industries Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
4243,WTK Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
4251,I-Berhad,Malaysia,KLSE,MYR,Common Stock
4286,Seal Inc. Bhd,Malaysia,KLSE,MYR,Common Stock
4316,Sin Heng Chan (Malaya) Berhad,Malaysia,KLSE,MYR,Common Stock
4324,Shell Refining Company (Federation of Malaya) Berhad,Malaysia,KLSE,MYR,Common Stock
